# MIB-2
mib-2	1.3.6.1.2.1
icmpOutMsgs	1.3.6.1.2.1.5.14
icmpOutErrors	1.3.6.1.2.1.5.15
icmpOutDestUnreachs	1.3.6.1.2.1.5.16
icmpOutTimeExcds	1.3.6.1.2.1.5.17
icmpOutParmProbs	1.3.6.1.2.1.5.18
icmpOutSrcQuenchs	1.3.6.1.2.1.5.19
icmpOutRedirects	1.3.6.1.2.1.5.20
icmpOutEchos	1.3.6.1.2.1.5.21
icmpOutEchoReps	1.3.6.1.2.1.5.22
icmpOutTimestamps	1.3.6.1.2.1.5.23
icmpOutTimestampReps	1.3.6.1.2.1.5.24
icmpOutAddrMasks	1.3.6.1.2.1.5.25
icmpOutAddrMaskReps	1.3.6.1.2.1.5.26
tcpRtoAlgorithm	1.3.6.1.2.1.6.1
tcpRtoMin	1.3.6.1.2.1.6.2
tcpRtoMax	1.3.6.1.2.1.6.3
tcpMaxConn	1.3.6.1.2.1.6.4
tcpActiveOpens	1.3.6.1.2.1.6.5
tcpPassiveOpens	1.3.6.1.2.1.6.6
tcpAttemptFails	1.3.6.1.2.1.6.7
tcpEstabResets	1.3.6.1.2.1.6.8
tcpCurrEstab	1.3.6.1.2.1.6.9
tcpInSegs	1.3.6.1.2.1.6.10
tcpOutSegs	1.3.6.1.2.1.6.11
tcpRetransSegs	1.3.6.1.2.1.6.12
tcpConnTable	1.3.6.1.2.1.6.13
tcpConnEntry	1.3.6.1.2.1.6.13.1
tcpConnState	1.3.6.1.2.1.6.13.1.1
tcpConnLocalAddress	1.3.6.1.2.1.6.13.1.2
tcpConnLocalPort	1.3.6.1.2.1.6.13.1.3
tcpConnRemAddress	1.3.6.1.2.1.6.13.1.4
tcpConnRemPort	1.3.6.1.2.1.6.13.1.5
tcpInErrs	1.3.6.1.2.1.6.14
tcpOutRsts	1.3.6.1.2.1.6.15
udpInDatagrams	1.3.6.1.2.1.7.1
udpNoPorts	1.3.6.1.2.1.7.2
udpInErrors	1.3.6.1.2.1.7.3
udpOutDatagrams	1.3.6.1.2.1.7.4
udpTable	1.3.6.1.2.1.7.5
udpEntry	1.3.6.1.2.1.7.5.1
udpLocalAddress	1.3.6.1.2.1.7.5.1.1
udpLocalPort	1.3.6.1.2.1.7.5.1.2
host	1.3.6.1.2.1.25
hrSystem	1.3.6.1.2.1.25.1
hrStorage	1.3.6.1.2.1.25.2
hrDevice	1.3.6.1.2.1.25.3
hrSWRun	1.3.6.1.2.1.25.4
hrSWRunPerf	1.3.6.1.2.1.25.5
hrSWInstalled	1.3.6.1.2.1.25.6
hrStorageTypes	1.3.6.1.2.1.25.2.1
hrStorageOther	1.3.6.1.2.1.25.2.1.1
hrStorageRam	1.3.6.1.2.1.25.2.1.2
hrStorageVirtualMemory	1.3.6.1.2.1.25.2.1.3
hrStorageFixedDisk	1.3.6.1.2.1.25.2.1.4
hrStorageRemovableDisk	1.3.6.1.2.1.25.2.1.5
hrStorageFloppyDisk	1.3.6.1.2.1.25.2.1.6
hrStorageCompactDisc	1.3.6.1.2.1.25.2.1.7
hrStorageRamDisk	1.3.6.1.2.1.25.2.1.8
hrDeviceTypes	1.3.6.1.2.1.25.3.1
hrDeviceOther	1.3.6.1.2.1.25.3.1.1
hrDeviceUnknown	1.3.6.1.2.1.25.3.1.2
hrDeviceProcessor	1.3.6.1.2.1.25.3.1.3
hrDeviceNetwork	1.3.6.1.2.1.25.3.1.4
hrDevicePrinter	1.3.6.1.2.1.25.3.1.5
hrDeviceDiskStorage	1.3.6.1.2.1.25.3.1.6
hrDeviceVideo	1.3.6.1.2.1.25.3.1.10
hrDeviceAudio	1.3.6.1.2.1.25.3.1.11
hrDeviceCoprocessor	1.3.6.1.2.1.25.3.1.12
hrDeviceKeyboard	1.3.6.1.2.1.25.3.1.13
hrDeviceModem	1.3.6.1.2.1.25.3.1.14
hrDeviceParallelPort	1.3.6.1.2.1.25.3.1.15
hrDevicePointing	1.3.6.1.2.1.25.3.1.16
hrDeviceSerialPort	1.3.6.1.2.1.25.3.1.17
hrDeviceTape	1.3.6.1.2.1.25.3.1.18
hrDeviceClock	1.3.6.1.2.1.25.3.1.19
hrDeviceVolatileMemory	1.3.6.1.2.1.25.3.1.20
hrDeviceNonVolatileMemory	1.3.6.1.2.1.25.3.1.21
hrFSTypes	1.3.6.1.2.1.25.3.9
hrFSOther	1.3.6.1.2.1.25.3.9.1
hrFSUnknown	1.3.6.1.2.1.25.3.9.2
hrFSBerkeleyFFS	1.3.6.1.2.1.25.3.9.3
hrFSSys5FS	1.3.6.1.2.1.25.3.9.4
hrFSFat	1.3.6.1.2.1.25.3.9.5
hrFSHPFS	1.3.6.1.2.1.25.3.9.6
hrFSHFS	1.3.6.1.2.1.25.3.9.7
hrFSMFS	1.3.6.1.2.1.25.3.9.8
hrFSNTFS	1.3.6.1.2.1.25.3.9.9
hrFSVNode	1.3.6.1.2.1.25.3.9.10
hrFSJournaled	1.3.6.1.2.1.25.3.9.11
hrFSiso9660	1.3.6.1.2.1.25.3.9.12
hrFSRockRidge	1.3.6.1.2.1.25.3.9.13
hrFSNFS	1.3.6.1.2.1.25.3.9.14
hrFSNetware	1.3.6.1.2.1.25.3.9.15
hrFSAFS	1.3.6.1.2.1.25.3.9.16
hrFSDFS	1.3.6.1.2.1.25.3.9.17
hrFSAppleshare	1.3.6.1.2.1.25.3.9.18
hrFSRFS	1.3.6.1.2.1.25.3.9.19
hrFSDGCFS	1.3.6.1.2.1.25.3.9.20
hrFSBFS	1.3.6.1.2.1.25.3.9.21
hrSystemUptime	1.3.6.1.2.1.25.1.1
hrSystemDate	1.3.6.1.2.1.25.1.2
hrSystemInitialLoadDevice	1.3.6.1.2.1.25.1.3
hrSystemInitialLoadParameters	1.3.6.1.2.1.25.1.4
hrSystemNumUsers	1.3.6.1.2.1.25.1.5
hrSystemProcesses	1.3.6.1.2.1.25.1.6
hrSystemMaxProcesses	1.3.6.1.2.1.25.1.7
hrMemorySize	1.3.6.1.2.1.25.2.2
hrStorageTable	1.3.6.1.2.1.25.2.3
hrStorageEntry	1.3.6.1.2.1.25.2.3.1
hrStorageIndex	1.3.6.1.2.1.25.2.3.1.1
hrStorageType	1.3.6.1.2.1.25.2.3.1.2
hrStorageDescr	1.3.6.1.2.1.25.2.3.1.3
hrStorageAllocationUnits	1.3.6.1.2.1.25.2.3.1.4
hrStorageSize	1.3.6.1.2.1.25.2.3.1.5
hrStorageUsed	1.3.6.1.2.1.25.2.3.1.6
hrStorageAllocationFailures	1.3.6.1.2.1.25.2.3.1.7
hrDeviceTable	1.3.6.1.2.1.25.3.2
hrDeviceEntry	1.3.6.1.2.1.25.3.2.1
hrDeviceIndex	1.3.6.1.2.1.25.3.2.1.1
hrDeviceType	1.3.6.1.2.1.25.3.2.1.2
hrDeviceDescr	1.3.6.1.2.1.25.3.2.1.3
hrDeviceID	1.3.6.1.2.1.25.3.2.1.4
hrDeviceStatus	1.3.6.1.2.1.25.3.2.1.5
hrDeviceErrors	1.3.6.1.2.1.25.3.2.1.6
hrProcessorTable	1.3.6.1.2.1.25.3.3
hrProcessorEntry	1.3.6.1.2.1.25.3.3.1
hrProcessorFrwID	1.3.6.1.2.1.25.3.3.1.1
hrProcessorLoad	1.3.6.1.2.1.25.3.3.1.2
hrNetworkTable	1.3.6.1.2.1.25.3.4
hrNetworkEntry	1.3.6.1.2.1.25.3.4.1
hrNetworkIfIndex	1.3.6.1.2.1.25.3.4.1.1
hrPrinterTable	1.3.6.1.2.1.25.3.5
hrPrinterEntry	1.3.6.1.2.1.25.3.5.1
hrPrinterStatus	1.3.6.1.2.1.25.3.5.1.1
hrPrinterDetectedErrorState	1.3.6.1.2.1.25.3.5.1.2
hrDiskStorageTable	1.3.6.1.2.1.25.3.6
hrDiskStorageEntry	1.3.6.1.2.1.25.3.6.1
hrDiskStorageAccess	1.3.6.1.2.1.25.3.6.1.1
hrDiskStorageMedia	1.3.6.1.2.1.25.3.6.1.2
hrDiskStorageRemoveble	1.3.6.1.2.1.25.3.6.1.3
hrDiskStorageCapacity	1.3.6.1.2.1.25.3.6.1.4
hrPartitionTable	1.3.6.1.2.1.25.3.7
hrPartitionEntry	1.3.6.1.2.1.25.3.7.1
hrPartitionIndex	1.3.6.1.2.1.25.3.7.1.1
hrPartitionLabel	1.3.6.1.2.1.25.3.7.1.2
hrPartitionID	1.3.6.1.2.1.25.3.7.1.3
hrPartitionSize	1.3.6.1.2.1.25.3.7.1.4
hrPartitionFSIndex	1.3.6.1.2.1.25.3.7.1.5
hrFSTable	1.3.6.1.2.1.25.3.8
hrFSEntry	1.3.6.1.2.1.25.3.8.1
hrFSIndex	1.3.6.1.2.1.25.3.8.1.1
hrFSMountPoint	1.3.6.1.2.1.25.3.8.1.2
hrFSRemoteMountPoint	1.3.6.1.2.1.25.3.8.1.3
hrFSType	1.3.6.1.2.1.25.3.8.1.4
hrFSAccess	1.3.6.1.2.1.25.3.8.1.5
hrFSBootable	1.3.6.1.2.1.25.3.8.1.6
hrFSStorageIndex	1.3.6.1.2.1.25.3.8.1.7
hrFSLastFullBackupDate	1.3.6.1.2.1.25.3.8.1.8
hrFSLastPartialBackupDate	1.3.6.1.2.1.25.3.8.1.9
hrSWOSIndex	1.3.6.1.2.1.25.4.1
hrSWRunTable	1.3.6.1.2.1.25.4.2
hrSWRunEntry	1.3.6.1.2.1.25.4.2.1
hrSWRunIndex	1.3.6.1.2.1.25.4.2.1.1
hrSWRunName	1.3.6.1.2.1.25.4.2.1.2
hrSWRunID	1.3.6.1.2.1.25.4.2.1.3
hrSWRunPath	1.3.6.1.2.1.25.4.2.1.4
hrSWRunParameters	1.3.6.1.2.1.25.4.2.1.5
hrSWRunType	1.3.6.1.2.1.25.4.2.1.6
hrSWRunStatus	1.3.6.1.2.1.25.4.2.1.7
hrSWRunPerfTable	1.3.6.1.2.1.25.5.1
hrSWRunPerfEntry	1.3.6.1.2.1.25.5.1.1
hrSWRunPerfCPU	1.3.6.1.2.1.25.5.1.1.1
hrSWRunPerfMem	1.3.6.1.2.1.25.5.1.1.2
hrSWInstalledLastChange	1.3.6.1.2.1.25.6.1
hrSWInstalledLastUpdateTime	1.3.6.1.2.1.25.6.2
hrSWInstalledTable	1.3.6.1.2.1.25.6.3
hrSWInstalledEntry	1.3.6.1.2.1.25.6.3.1
hrSWInstalledIndex	1.3.6.1.2.1.25.6.3.1.1
hrSWInstalledName	1.3.6.1.2.1.25.6.3.1.2
hrSWInstalledID	1.3.6.1.2.1.25.6.3.1.3
hrSWInstalledType	1.3.6.1.2.1.25.6.3.1.4
hrSWInstalledDate	1.3.6.1.2.1.25.6.3.1.5
novell	1.3.6.1.4.1.23
mibDoc	1.3.6.1.4.1.23.2
nwServer	1.3.6.1.4.1.23.2.28
nwSystem	1.3.6.1.4.1.23.2.28.1
nwFileSystem	1.3.6.1.4.1.23.2.28.2
nwUsers	1.3.6.1.4.1.23.2.28.3
nwQueue	1.3.6.1.4.1.23.2.28.4
nwOdi	1.3.6.1.4.1.23.2.28.5
nwSft3	1.3.6.1.4.1.23.2.28.6
nwNCP	1.3.6.1.4.1.23.2.28.7
nwWatchdog	1.3.6.1.4.1.23.2.28.8
nwNLM	1.3.6.1.4.1.23.2.28.9
nwSetParams	1.3.6.1.4.1.23.2.28.10
nwUserAccounts	1.3.6.1.4.1.23.2.28.11
nwSysServerName	1.3.6.1.4.1.23.2.28.1.1
nwSysSerialNumber	1.3.6.1.4.1.23.2.28.1.2
nwSysInternalNetNum	1.3.6.1.4.1.23.2.28.1.3
nwSysServerUpTime	1.3.6.1.4.1.23.2.28.1.4
nwSysOSSFTLevel	1.3.6.1.4.1.23.2.28.1.5
nwSysOSMajorVer	1.3.6.1.4.1.23.2.28.1.6
nwSysOSMinorVer	1.3.6.1.4.1.23.2.28.1.7
nwSysOSReleaseDate	1.3.6.1.4.1.23.2.28.1.8
nwSysOSDescription	1.3.6.1.4.1.23.2.28.1.9
nwSysOSCopyright	1.3.6.1.4.1.23.2.28.1.10
nwSysTime	1.3.6.1.4.1.23.2.28.1.11
nwSysTimeZone	1.3.6.1.4.1.23.2.28.1.12
nwSysLoginState	1.3.6.1.4.1.23.2.28.1.13
nwSysLanguageID	1.3.6.1.4.1.23.2.28.1.14
nwSysNMASerialNumber	1.3.6.1.4.1.23.2.28.1.15
nwSysNMACopiesAllowed	1.3.6.1.4.1.23.2.28.1.16
nwSysDirectoryTree	1.3.6.1.4.1.23.2.28.1.17
nwSysBinderyContext	1.3.6.1.4.1.23.2.28.1.18
nwSysServerDSName	1.3.6.1.4.1.23.2.28.1.19
nwSysDaylightSavingsStart	1.3.6.1.4.1.23.2.28.1.20
nwSysDaylightSavingsEnd	1.3.6.1.4.1.23.2.28.1.21
nwSysDaylightSavingsOffset	1.3.6.1.4.1.23.2.28.1.22
nwSysDaylightSavingsStatus	1.3.6.1.4.1.23.2.28.1.23
nwFSReads	1.3.6.1.4.1.23.2.28.2.1
nwFSWrites	1.3.6.1.4.1.23.2.28.2.2
nwFSReadKBytes	1.3.6.1.4.1.23.2.28.2.3
nwFSWrittenKBytes	1.3.6.1.4.1.23.2.28.2.4
nwFSCacheChecks	1.3.6.1.4.1.23.2.28.2.5
nwFSCacheHits	1.3.6.1.4.1.23.2.28.2.6
nwFSOpenFiles	1.3.6.1.4.1.23.2.28.2.7
nwFSMaxOpenFiles	1.3.6.1.4.1.23.2.28.2.8
nwFSRecordLocks	1.3.6.1.4.1.23.2.28.2.9
nwFSMaxRecordLocks	1.3.6.1.4.1.23.2.28.2.10
nwFSMaxSubdirectoryTreeDepth	1.3.6.1.4.1.23.2.28.2.11
nwFSMaxPercentOfVolumeUsedByDir	1.3.6.1.4.1.23.2.28.2.12
nwFSVolCount	1.3.6.1.4.1.23.2.28.2.13
nwFSVolTable	1.3.6.1.4.1.23.2.28.2.14
nwFSVolEntry	1.3.6.1.4.1.23.2.28.2.14.1
nwVolID	1.3.6.1.4.1.23.2.28.2.14.1.1
nwVolPhysicalName	1.3.6.1.4.1.23.2.28.2.14.1.2
nwVolSize	1.3.6.1.4.1.23.2.28.2.14.1.3
nwVolFree	1.3.6.1.4.1.23.2.28.2.14.1.4
nwVolFreeable	1.3.6.1.4.1.23.2.28.2.14.1.5
nwVolNonFreeable	1.3.6.1.4.1.23.2.28.2.14.1.6
nwVolBlockSize	1.3.6.1.4.1.23.2.28.2.14.1.7
nwVolMounted	1.3.6.1.4.1.23.2.28.2.14.1.8
nwVolAttributes	1.3.6.1.4.1.23.2.28.2.14.1.9
nwVolNameSpaces	1.3.6.1.4.1.23.2.28.2.14.1.10
nwVolTotalDirEntries	1.3.6.1.4.1.23.2.28.2.14.1.11
nwVolUsedDirEntries	1.3.6.1.4.1.23.2.28.2.14.1.12
nwVolSegmentCount	1.3.6.1.4.1.23.2.28.2.14.1.13
nwVolDSName	1.3.6.1.4.1.23.2.28.2.14.1.14
nwVolFileSystemID	1.3.6.1.4.1.23.2.28.2.14.1.15
nwVolFileSystemName	1.3.6.1.4.1.23.2.28.2.14.1.16
nwFSOpenFileTable	1.3.6.1.4.1.23.2.28.2.15
nwFSOpenFileEntry	1.3.6.1.4.1.23.2.28.2.15.1
nwOfileVolID	1.3.6.1.4.1.23.2.28.2.15.1.1
nwOfileDirectoryNumber	1.3.6.1.4.1.23.2.28.2.15.1.2
nwOfileConnection	1.3.6.1.4.1.23.2.28.2.15.1.3
nwOfileVolumeName	1.3.6.1.4.1.23.2.28.2.15.1.4
nwOfileName	1.3.6.1.4.1.23.2.28.2.15.1.5
nwOfileLoginName	1.3.6.1.4.1.23.2.28.2.15.1.6
nwUserCount	1.3.6.1.4.1.23.2.28.3.1
nwLoginCount	1.3.6.1.4.1.23.2.28.3.2
nwMaxLogins	1.3.6.1.4.1.23.2.28.3.3
nwConnectionCount	1.3.6.1.4.1.23.2.28.3.4
nwPeakRemoteConnections	1.3.6.1.4.1.23.2.28.3.5
nwMaxConnections	1.3.6.1.4.1.23.2.28.3.6
nwNLMConnections	1.3.6.1.4.1.23.2.28.3.7
nwConnectionTable	1.3.6.1.4.1.23.2.28.3.8
nwConnectionEntry	1.3.6.1.4.1.23.2.28.3.8.1
nwConnectionNumber	1.3.6.1.4.1.23.2.28.3.8.1.1
nwConnectionLoginName	1.3.6.1.4.1.23.2.28.3.8.1.2
nwConnectionTransportDomain	1.3.6.1.4.1.23.2.28.3.8.1.3
nwConnectionTransportAddress	1.3.6.1.4.1.23.2.28.3.8.1.4
nwConnectionTime	1.3.6.1.4.1.23.2.28.3.8.1.5
nwConnectionReadKBytes	1.3.6.1.4.1.23.2.28.3.8.1.6
nwConnectionWrittenKBytes	1.3.6.1.4.1.23.2.28.3.8.1.7
nwConnectionNcpRequests	1.3.6.1.4.1.23.2.28.3.8.1.8
nwConnectionFilesOpen	1.3.6.1.4.1.23.2.28.3.8.1.9
nwConnectionRecordsLocked	1.3.6.1.4.1.23.2.28.3.8.1.10
nwConnectionPrivilege	1.3.6.1.4.1.23.2.28.3.8.1.11
nwConnectionStatus	1.3.6.1.4.1.23.2.28.3.8.1.12
nwQueueCount	1.3.6.1.4.1.23.2.28.4.1
nwQueueTable	1.3.6.1.4.1.23.2.28.4.2
nwQueueEntry	1.3.6.1.4.1.23.2.28.4.2.1
nwQID	1.3.6.1.4.1.23.2.28.4.2.1.1
nwQName	1.3.6.1.4.1.23.2.28.4.2.1.2
nwQType	1.3.6.1.4.1.23.2.28.4.2.1.3
nwQAddJobState	1.3.6.1.4.1.23.2.28.4.2.1.4
nwQAttachState	1.3.6.1.4.1.23.2.28.4.2.1.5
nwQServiceJobState	1.3.6.1.4.1.23.2.28.4.2.1.6
nwQDirVolName	1.3.6.1.4.1.23.2.28.4.2.1.7
nwQNumJobEntries	1.3.6.1.4.1.23.2.28.4.2.1.8
nwQNumAssignedServers	1.3.6.1.4.1.23.2.28.4.2.1.9
nwQueueJobTable	1.3.6.1.4.1.23.2.28.4.3
nwQueueJobEntry	1.3.6.1.4.1.23.2.28.4.3.1
nwQJobQID	1.3.6.1.4.1.23.2.28.4.3.1.1
nwQJobNumber	1.3.6.1.4.1.23.2.28.4.3.1.2
nwQJobDescription	1.3.6.1.4.1.23.2.28.4.3.1.3
nwQJobEntryDateTime	1.3.6.1.4.1.23.2.28.4.3.1.4
nwQJobPosition	1.3.6.1.4.1.23.2.28.4.3.1.5
nwQJobSize	1.3.6.1.4.1.23.2.28.4.3.1.6
nwQJobControlFlags	1.3.6.1.4.1.23.2.28.4.3.1.7
nwQJobUserName	1.3.6.1.4.1.23.2.28.4.3.1.8
nwQJobTargetServerName	1.3.6.1.4.1.23.2.28.4.3.1.9
nwQJobTargetDateTime	1.3.6.1.4.1.23.2.28.4.3.1.10
nwQJobServerName	1.3.6.1.4.1.23.2.28.4.3.1.11
nwQueueServerTable	1.3.6.1.4.1.23.2.28.4.4
nwQueueServerEntry	1.3.6.1.4.1.23.2.28.4.4.1
nwQServerQID	1.3.6.1.4.1.23.2.28.4.4.1.1
nwQServerID	1.3.6.1.4.1.23.2.28.4.4.1.2
nwQServerName	1.3.6.1.4.1.23.2.28.4.4.1.3
nwQServerStatus	1.3.6.1.4.1.23.2.28.4.4.1.4
nwOdiLslEnqSendCount	1.3.6.1.4.1.23.2.28.5.1
nwOdiOsPktRcvBuffer	1.3.6.1.4.1.23.2.28.5.2
nwOdiOsMaxPktRcvBuffers	1.3.6.1.4.1.23.2.28.5.3
nwOdiOsMinPktRcvBuffers	1.3.6.1.4.1.23.2.28.5.4
nwSft3Engine	1.3.6.1.4.1.23.2.28.6.1
nwSft3EngineState	1.3.6.1.4.1.23.2.28.6.2
nwSft3EngineTable	1.3.6.1.4.1.23.2.28.6.3
nwSft3EngineEntry	1.3.6.1.4.1.23.2.28.6.3.1
nwSft3EngineType	1.3.6.1.4.1.23.2.28.6.3.1.1
nwSft3EngineName	1.3.6.1.4.1.23.2.28.6.3.1.2
nwSft3EngineInternalNetNum	1.3.6.1.4.1.23.2.28.6.3.1.3
nwNCPIPXChecksums	1.3.6.1.4.1.23.2.28.7.1
nwNCPPacketSignatures	1.3.6.1.4.1.23.2.28.7.2
nwNCPNumNCPReqs	1.3.6.1.4.1.23.2.28.7.3
nwNCPUseCount	1.3.6.1.4.1.23.2.28.7.4
nwNCPPeakUseCount	1.3.6.1.4.1.23.2.28.7.5
nwNCPForgedPkts	1.3.6.1.4.1.23.2.28.7.6
nwNCPBeingProcesseds	1.3.6.1.4.1.23.2.28.7.7
nwNCPNoAvailConns	1.3.6.1.4.1.23.2.28.7.8
nwNCPIPXChecksumErrs	1.3.6.1.4.1.23.2.28.7.9
nwNCPInvalidPacketSigs	1.3.6.1.4.1.23.2.28.7.10
nwNCPExtNumReg	1.3.6.1.4.1.23.2.28.7.11
nwNCPExtInvalidReqs	1.3.6.1.4.1.23.2.28.7.12
nwWDTimeBeforeFirstPkt	1.3.6.1.4.1.23.2.28.8.1
nwWDTimeBetweenPkts	1.3.6.1.4.1.23.2.28.8.2
nwWDNumPktsToSend	1.3.6.1.4.1.23.2.28.8.3
nwWDCurrentState	1.3.6.1.4.1.23.2.28.8.4
nwWDNotifyConsoleFlag	1.3.6.1.4.1.23.2.28.8.5
nwNLMTable	1.3.6.1.4.1.23.2.28.9.1
nwNLMEntry	1.3.6.1.4.1.23.2.28.9.1.1
nwNLMIndex	1.3.6.1.4.1.23.2.28.9.1.1.1
nwNLMName	1.3.6.1.4.1.23.2.28.9.1.1.2
nwNLMDescription	1.3.6.1.4.1.23.2.28.9.1.1.3
nwNLMTotalMemory	1.3.6.1.4.1.23.2.28.9.1.1.4
nwNLMCopyright	1.3.6.1.4.1.23.2.28.9.1.1.5
nwNLMProtectionDomain	1.3.6.1.4.1.23.2.28.9.1.1.6
nwNLMMajorVer	1.3.6.1.4.1.23.2.28.9.1.1.7
nwNLMMinorVer	1.3.6.1.4.1.23.2.28.9.1.1.8
nwNLMRevision	1.3.6.1.4.1.23.2.28.9.1.1.9
nwNLMReleaseDate	1.3.6.1.4.1.23.2.28.9.1.1.10
nwSetCategoryTable	1.3.6.1.4.1.23.2.28.10.1
